FRR_ID,Family,Title,Primary_Keyword,Impact_Low,Impact_Moderate,Impact_High,Code_Detectable,Statement
FRR-ADS-01,ADS,Public Information,MUST,Yes,Yes,Yes,Partial,"Providers MUST publicly share up-to-date information about the _cloud service offering_ in both human-readable and _machine-readable_ formats, including at least:"
FRR-ADS-02,ADS,Consistency Between Formats,MUST,Yes,Yes,Yes,Partial,Providers MUST use automation to ensure information remains consistent between human-readable and _machine-readable_ formats when _authorization data_ is provided in both formats; Providers SHOULD generate human-readable and _machine-readable_ data from the same source at the same time OR generate human-readable formats directly from _machine-readable_ data.
FRR-ADS-03,ADS,Detailed Service List,MUST,Yes,Yes,Yes,Partial,Providers MUST share a detailed list of specific services and their impact levels that are included in the _cloud service offering_ using clear feature or service names that align with standard public marketing materials; this list MUST be complete enough for a potential customer to determine which services are and are not included in the FedRAMP authorization without requesting access to underlying _authorization data_.
FRR-ADS-04,ADS,Uninterrupted Sharing,MUST,Yes,Yes,Yes,Partial,"Providers MUST share _authorization data_ with all necessary parties without interruption, including at least FedRAMP, CISA, and agency customers. "
FRR-ADS-05,ADS,Responsible Information Sharing,MUST,Yes,Yes,Yes,Partial,"Providers MUST provide sufficient information in _authorization data_ to support authorization decisions but SHOULD NOT include sensitive information that would _likely_ enable a threat actor to gain unauthorized access, cause harm, disrupt operations, or otherwise have a negative adverse impact on the _cloud service offering_. "
FRR-ADS-06,ADS,USDA Connect Community Portal,MUST,Yes,Yes,Yes,Partial,Providers of FedRAMP Rev5 Authorized _cloud service offerings_ MUST share _authorization data_ via the USDA Connect Community Portal UNLESS they use a FedRAMP-compatible _trust center_.
FRR-ADS-07,ADS,FedRAMP-Compatible Trust Centers,MUST,Yes,Yes,Yes,Partial,Providers of FedRAMP 20x Authorized _cloud service offerings_ MUST use a FedRAMP-compatible _trust center_ to store and share _authorization data_ with all necessary parties.
FRR-ADS-08,ADS,Trust Center Migration Notification,MUST,Yes,Yes,Yes,No,Providers MUST notify all necessary parties when migrating to a _trust center_ and MUST provide information in their existing USDA Connect Community Portal secure folders explaining how to use the _trust center_ to obtain _authorization data_.
FRR-ADS-09,ADS,Historical Authorization Data,MUST,Yes,Yes,Yes,Partial,Providers MUST make historical versions of _authorization data_ available for three years to all necessary parties UNLESS otherwise specified by applicable FedRAMP requirements; deltas between versions MAY be consolidated quarterly.
FRR-ADS-10,ADS,Best Practices and Technical Assistance,SHOULD,Yes,Yes,Yes,Partial,Providers SHOULD follow FedRAMP’s best practices and technical assistance for sharing _authorization data_ where applicable.
FRR-ADS-AC-01,ADS,Public Guidance,MUST,Yes,Yes,Yes,No,Providers MUST publicly provide plain-language policies and guidance for all necessary parties that explains how they can obtain and manage access to _authorization data_ stored in the _trust center_.
FRR-ADS-AC-02,ADS,Prospective Customer Access,SHOULD,Yes,Yes,Yes,No,Providers SHOULD share at least the _authorization package_ with prospective agency customers upon request and MUST notify FedRAMP within five business days if a prospective agency customer request is denied.  
FRR-ADS-EX-01,ADS,Legacy Self-Managed Repository Exception,MAY,Yes,Yes,Yes,No,Providers of FedRAMP Rev5 Authorized _cloud service offerings_ at FedRAMP High using a legacy self-managed repository for _authorization data_ MAY ignore the requirements in this Authorization Data Sharing document until future notice.
FRR-ADS-TC-01,ADS,Trust Center Assessment,MUST,Yes,Yes,Yes,No,_Trust centers_ MUST be included as an _information resource_ included in the _cloud service offering_ for assessment if FRR-MAS-01 applies. 
FRR-ADS-TC-02,ADS,Human and Machine-Readable,SHOULD,Yes,Yes,Yes,Partial,_Trust centers_ SHOULD make _authorization data_ available to view and download in both human-readable and _machine-readable_ formats
FRR-ADS-TC-03,ADS,Programmatic Access,MUST,Yes,Yes,Yes,No,"_Trust centers_ MUST provide documented programmatic access to all _authorization data_, including programmatic access to human-readable materials."
FRR-ADS-TC-04,ADS,Self-Service Access Management,SHOULD,Yes,Yes,Yes,Partial,_Trust centers_ SHOULD include features that encourage all necessary parties to provision and manage access to _authorization data_ for their users and services directly.
FRR-ADS-TC-05,ADS,Access Inventory,MUST,Yes,Yes,Yes,Partial,_Trust centers_ MUST maintain an inventory and history of federal agency users or systems with access to _authorization data_ and MUST make this information available to FedRAMP without interruption. 
FRR-ADS-TC-06,ADS,Access Logging,MUST,Yes,Yes,Yes,Partial,"_Trust centers_ MUST log access to _authorization data_ and store summaries of access for at least six months; such information, as it pertains to specific parties, SHOULD be made available upon request by those parties."
FRR-ADS-TC-07,ADS,Responsive Performance,SHOULD,Yes,Yes,Yes,No,_Trust centers_ SHOULD deliver responsive performance during normal operating conditions and minimize service disruptions.
FRR-CCM-01,CCM,Ongoing Authorization Reports,MUST,Yes,Yes,Yes,No,"Providers MUST make an _Ongoing Authorization Report_ available to _all necessary parties_ every 3 months, in a consistent format that is human readable, covering the entire period since the previous summary; this report MUST include high-level summaries of at least the following information:"
FRR-CCM-02,CCM,Avoiding Simultaneous Reports,SHOULD,Yes,Yes,Yes,No,"Providers SHOULD establish a regular 3 month cycle for _Ongoing Authorization Reports_ that is spread out from the beginning, middle, or end of each quarter."
FRR-CCM-03,CCM,Public Next Report Date,MUST,Yes,Yes,Yes,No,Providers MUST publicly include the target date for their next _Ongoing Authorization Report_ with the _authorization data_ required by FRR-ADS-01.
FRR-CCM-04,CCM,Feedback Mechanism,MUST,Yes,Yes,Yes,No,Providers MUST establish and share an asynchronous mechanism for _all necessary parties_ to provide feedback or ask questions about each _Ongoing Authorization Report_.
FRR-CCM-05,CCM,Anonymized Feedback Summary,MUST,Yes,Yes,Yes,No,"Providers MUST maintain an anonymized and desensitized summary of the feedback, questions, and answers about each _Ongoing Authorization Report_ as an addendum to the _Ongoing Authorization Report_."
FRR-CCM-06,CCM,Protect Sensitive Information,MUST,Yes,Yes,Yes,No,Providers MUST NOT irresponsibly disclose sensitive information in an _Ongoing Authorization Report_ that would _likely_ have an adverse effect on the _cloud service offering_.
FRR-CCM-07,CCM,Responsible Public Sharing,MUST,Yes,Yes,Yes,No,Providers MAY responsibly share some or all of the information an _Ongoing Authorization Report_ publicly or with other parties if the provider determines doing so will NOT _likely_ have an adverse effect on the _cloud service offering_.
FRR-CCM-AG-01,CCM,Review Ongoing Reports,MUST,Yes,Yes,Yes,No,Agencies MUST review each _Ongoing Authorization Report_ to understand how changes to the _cloud service offering_ may impact the previously agreed-upon risk tolerance documented in the _agency's_ Authorization to Operate of a federal information system that includes the _cloud service offering_ in its boundary.
FRR-CCM-AG-02,CCM,Consider Security Category,SHOULD,Yes,Yes,Yes,No,"Agencies SHOULD consider the Security Category noted in their Authorization to Operate of the federal information system that includes the _cloud service offering_ in its boundary and assign appropriate information security resources for reviewing _Ongoing Authorization Reports_, attending _Quarterly Reviews_, and other ongoing _authorization data_."
